Accoro;-13.46667;-74.66667;PPL;PE;05;;America/Lima
Accos Puquio;-13.59250;-73.17972;PPL;PE;03;;America/Lima
Accosanqui;-15.08333;-73.78333;PPL;PE;05;;America/Lima
Accositanga;-15.20361;-73.18694;PPL;PE;05;;America/Lima
Accosora;-15.22667;-71.31333;PPL;PE;04;;America/Lima
Accota;-15.66722;-72.49111;PPL;PE;04;;America/Lima
Accotana;-15.27278;-71.88583;PPL;PE;04;;America/Lima
Accotira;-15.09972;-71.24000;PPL;PE;04;;America/Lima
Accoytanca;-15.20083;-71.25944;PPL;PE;04;;America/Lima
Accsahua;-13.15000;-74.90000;PPL;PE;09;;America/Lima
Accuata;-15.08889;-70.91694;PPL;PE;21;;America/Lima
Aceitepampa;-8.82000;-78.20611;PPL;PE;02;;America/Lima
Aceitiyoc;-9.85989;-76.25670;PPL;PE;10;;America/Lima
Acejar Punta;-9.21765;-76.94976;PPL;PE;02;;America/Lima
Acequia Alta;-16.36000;-71.54306;PPLX;PE;04;;America/Lima
Acerca;-11.09583;-76.69861;PPL;PE;15;;America/Lima
Acero;-13.91028;-72.12167;PPL;PE;03;;America/Lima
Acero Patjata;-16.25000;-69.13333;PPL;PE;21;;America/Lima
Aceroccocha;-13.74250;-73.40556;PPL;PE;03;;America/Lima
Aceroccollo;-14.80056;-71.79000;PPL;PE;08;;America/Lima
Aceropata;-13.99222;-73.26139;PPL;PE;03;;America/Lima
Achac;-9.69294;-76.71568;PPL;PE;10;;America/Lima
Achacala;-16.71667;-70.35000;PPL;PE;18;;America/Lima
Achacalane;-16.68333;-70.56667;PPL;PE;18;;America/Lima
Achacana;-13.62833;-74.97861;PPL;PE;09;;America/Lima
Achacarca;-15.01667;-69.55000;PPL;PE;21;;America/Lima
Achacco;-15.15361;-71.62056;PPL;PE;04;;America/Lima
Achachorcro;-15.33500;-71.76278;PPL;PE;04;;America/Lima
Achaco;-14.83333;-74.98333;PPL;PE;11;;America/Lima
Achaco;-15.25417;-72.42139;PPL;PE;04;;America/Lima
Achaco;-15.22444;-72.48222;PPL;PE;04;;America/Lima
Achaco;-15.37417;-72.45500;PPL;PE;04;;America/Lima
Achacota;-15.57278;-71.43389;PPL;PE;04;;America/Lima
Achacpujo;-16.83333;-70.10000;PPL;PE;21;;America/Lima
Achacuas;-9.11806;-78.03167;PPL;PE;02;;America/Lima
